                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.4097,                0.37609,                0.79956,                0.98259,                0.94911,                0.98839,                0.83403,                0.67435,                0.32363,                0.78812,               4.06e-05,               4.06e-05,               4.06e-05
                     36,                0.40835,                0.37464,                0.79951,                0.97974,                0.95222,                0.98845,                 0.8593,                0.58408,                 0.3017,                0.77903,               3.88e-05,               3.88e-05,               3.88e-05
                     37,                0.40534,                 0.3714,                0.79912,                0.98134,                0.94994,                 0.9885,                0.84514,                0.62849,                0.31324,                0.78406,                3.7e-05,                3.7e-05,                3.7e-05
                     38,                0.40152,                0.36937,                0.79885,                0.98068,                0.95123,                0.98864,                0.84064,                0.65174,                0.31685,                0.78593,               3.52e-05,               3.52e-05,               3.52e-05
                     39,                0.39844,                 0.3672,                0.79853,                0.98106,                0.95019,                0.98857,                0.85413,                0.60308,                0.30576,                0.78088,               3.34e-05,               3.34e-05,               3.34e-05
                     40,                0.39804,                0.36645,                0.79861,                 0.9811,                 0.9506,                0.98873,                0.83639,                0.66216,                 0.3195,                0.78731,               3.16e-05,               3.16e-05,               3.16e-05
                     41,                0.39443,                 0.3382,                0.79552,                0.97987,                0.94794,                0.98711,                0.73409,                 1.0413,                0.40455,                0.84107,               2.98e-05,               2.98e-05,               2.98e-05
                     42,                0.33931,                0.30182,                0.78913,                0.97932,                0.95121,                0.98798,                0.75727,                0.96395,                0.38474,                0.82694,                2.8e-05,                2.8e-05,                2.8e-05
                     43,                0.33018,                0.29724,                  0.788,                0.98132,                0.95003,                0.98854,                0.78132,                0.86594,                0.36083,                0.81194,               2.62e-05,               2.62e-05,               2.62e-05
                     44,                0.32953,                0.29372,                0.78776,                 0.9827,                0.94997,                0.98868,                0.79204,                0.82269,                0.35104,                0.80571,               2.44e-05,               2.44e-05,               2.44e-05
                     45,                0.32241,                0.28965,                0.78695,                0.98166,                0.95057,                0.98863,                0.76257,                 0.9605,                0.38088,                0.82549,               2.26e-05,               2.26e-05,               2.26e-05
                     46,                0.32282,                0.28814,                0.78732,                0.98096,                0.95184,                0.98873,                0.78078,                0.87431,                0.35956,                 0.8124,               2.08e-05,               2.08e-05,               2.08e-05
                     47,                0.31992,                0.28601,                0.78677,                0.98073,                0.95243,                0.98893,                0.77691,                0.89439,                0.36496,                0.81522,                1.9e-05,                1.9e-05,                1.9e-05
                     48,                0.31899,                0.28401,                0.78643,                0.98205,                0.94988,                0.98884,                 0.7685,                0.93581,                0.37596,                0.82162,               1.72e-05,               1.72e-05,               1.72e-05
                     49,                0.31399,                0.28211,                  0.786,                 0.9817,                0.95039,                0.98893,                0.76964,                0.93354,                0.37377,                  0.821,               1.54e-05,               1.54e-05,               1.54e-05
                     50,                0.31417,                 0.2812,                0.78646,                0.98111,                0.95212,                  0.989,                0.77745,                0.89807,                0.36418,                0.81556,               1.36e-05,               1.36e-05,               1.36e-05
